Unique ID,Card Name,Card Type,Card Stage,Rarity,Set,Series,Count,Image URL
333,Krabby,Water,Basic,C,"UNB, Unbroken Bonds",SM,7,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_46.png
334,Kingler,Water,Stage 1,R,"UNB, Unbroken Bonds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_47.png
335,Seel,Water,Basic,C,"UNB, Unbroken Bonds",SM,7,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_44.png
336,Dewgong,Water,Stage 1,R,"UNB, Unbroken Bonds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_45.png
337,Goldeen,Water,Basic,C,"UNB, Unbroken Bonds",SM,6,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_48.png
338,Seaking,Water,Stage 1,R,"UNB, Unbroken Bonds",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_49.png
339,Tentacool,Water,Basic,C,"UNB, Unbroken Bonds",SM,6,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_40.png
340,Tentacruel,Water,Stage 1,U,"UNB, Unbroken Bonds",SM,5,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_41.png
341,Slowpoke,Water,Basic,C,"LOT, Lost Thunder",SM,5,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_54.png
342,Slowpoke,Water,Basic,C,"UNB, Unbroken Bonds",SM,7,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_42.png
343,Slowking,Water,Stage 1,R,"LOT, Lost Thunder",SM,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_55.png
344,Poliwag,Water,Basic,C,"UNB, Unbroken Bonds",SM,7,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_36.png
345,Poliwag,Water,Basic,C,"UNB, Unbroken Bonds",SM,7,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_37.png
346,Poliwhirl,Water,Stage 1,U,"UNB, Unbroken Bonds",SM,6,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_38.png
347,Mudkip,Water,Basic,C,"CES, Celestial Storm",SM,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_32.png
348,Marshtomp,Water,Stage 1,U,"CES, Celestial Storm",SM,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_34.png
349,Swampert,Water,Stage 2,R,"CES, Celestial Storm",SM,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_35.png
350,Froakie,Water,Basic,C,"UNB, Unbroken Bonds",SM,8,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_51.png
351,Frogadier,Water,Stage 1,U,"UNB, Unbroken Bonds",SM,8,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_52.png
352,Clamperl,Water,Basic,C,"CES, Celestial Storm",SM,5,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_41.png
353,Luvdisc,Water,Basic,C,"CES, Celestial Storm",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_44.png
354,Huntail,Water,Stage 1,U,"CES, Celestial Storm",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_42.png
355,Pyukumuku,Water,Basic,U,"UNB, Unbroken Bonds",SM,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_53.png
356,Lotad,Water,Basic,C,"CES, Celestial Storm",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_36.png
357,Lombre,Water,Stage 1,U,"CES, Celestial Storm",SM,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_37.png
358,Wailmer,Water,Basic,C,"CES, Celestial Storm",SM,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_39.png
359,Dewpider,Water,Basic,C,"UNM, Unified Minds",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM11/SM11_EN_48.png
360,Araquanid,Water,Stage 1,R,"UNM, Unified Minds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM11/SM11_EN_49.png
361,Cubchoo,Water,Basic,C,"LOT, Lost Thunder",SM,5,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_61.png
362,Delibird,Water,Basic,U,"LOT, Lost Thunder",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_57.png
363,Mareanie,Water,Basic,C,"LOT, Lost Thunder",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_68.png
364,Mantine,Water,Basic,U,"LOT, Lost Thunder",SM,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_58.png
365,Popplio,Water,Basic,C,"LOT, Lost Thunder",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_65.png
366,Popplio,Water,Basic,C,"LOT, Lost Thunder",SM,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_64.png
367,Brionne,Water,Stage 1,U,"LOT, Lost Thunder",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_66.png
368,Articuno GX ,Water,Basic,RR,"CES, Celestial Storm",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_154.png
369,Suicune GX,Water,Basic,RR,"LOT, Lost Thunder",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_200.png
370,Kyurem,Water,Basic,R,"UNB, Unbroken Bonds",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_50.png
371,Bruxish,Water,Basic,C,"LOT, Lost Thunder",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_70.png
372,Cryogonal,Water,Basic,C,"UNM, Unified Minds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM11/SM11_EN_46.png
373,Alolan Vulpix,Water,Basic,C,"LOT, Lost Thunder",SM,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_53.png
374,Basculin,Water,Basic,C,"UNM, Unified Minds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM11/SM11_EN_43.png
375,Snorunt,Water,Basic,C,"CRE, Chilling Reign",SWSH,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH6/SWSH6_EN_35.png
376,Suicune,Water,Basic,R,"DAA, Darkness Ablaze",SWSH,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH3/SWSH3_EN_37.png
377,Remoraid,Water,Basic,C,"PAR, Paradox Rift",SV,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_33.png
378,Octillery,Water,Stage 1,R,"BST, Battle Styles",SWSH,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH5/SWSH5_EN_37.png
379,Octillery,Water,Stage 1,C,"PAR, Paradox Rift",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_34.png
380,Horsea,Water,Basic,C,"PAR, Paradox Rift",SV,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_30.png
381,Seadra,Water,Stage 1,C,"PAR, Paradox Rift",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_31.png
382,Kingdra,Water,Stage 2,R,"PAR, Paradox Rift",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_32.png
383,Vanillite,Water,Basic,C,"PAR, Paradox Rift",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_43.png
384,Vanillish,Water,Stage 1,C,"PAR, Paradox Rift",SV,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_44.png
385,Vanilluxe,Water,Stage 2,U,"CPA, Champion's Path",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_45.png
386,Castform,Water,Basic,C,"CRE, Chilling Reign",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH6/SWSH6_EN_33.png
387,Chien-Pao,Water,Basic,R,"PAR, Paradox Rift",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_57.png
388,Wimpod,Water,Basic,C,"PAR, Paradox Rift",SV,10,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_47.png
389,Wimpod,Water,Basic,C,"PAR, Paradox Rift",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_48.png
390,Golisopod,Water,Stage 1,R,"PAR, Paradox Rift",SV,9,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_49.png
391,Panpour,Water,Basic,C,"PAR, Paradox Rift",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_41.png
392,Simipour,Water,Stage 1,U,"PAR, Paradox Rift",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_42.png
393,Palkia,Water,Basic,R,"PAR, Paradox Rift",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_40.png
394,Mantyke,Water,Basic,C,"PAR, Paradox Rift",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_39.png
395,Wiglett,Water,Basic,C,"PAR, Paradox Rift",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_51.png
396,Wiglett,Water,Basic,C,"PAR, Paradox Rift",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_52.png
397,Wugtrio,Water,Stage 1,U,"PAR, Paradox Rift",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_53.png
398,Snorunt,Water,Basic,C,"PAR, Paradox Rift",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_37.png
399,Froslass ex,Grass,Stage 1,RR,"PAR, Paradox Rift",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_217.png
400,Dondozo,Water,Basic,U,"PAR, Paradox Rift",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_55.png
401,Feebas,Water,Basic,C,"PAR, Paradox Rift",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_35.png
402,Cramorant,Water,Basic,U,"VIV, Vivid Voltage",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH4/SWSH4_EN_40.png
403,Sobble,Water,Basic,C,"SSH, Sword & Shield",SWSH,5,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH1/SWSH1_EN_55.png
404,Inteleon,Water,Stage 2,R,"SSH, Sword & Shield",SWSH,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH1/SWSH1_EN_58.png
405,Inteleon,Water,Stage 2,R,"CRE, Chilling Reign",SWSH,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH6/SWSH6_EN_43.png
406,Drizzile,Water,Stage 1,U,"SSH, Sword & Shield",SWSH,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH1/SWSH1_EN_56.png
407,Inteleon V,Water,Basic,RR,"RCL, Rebel Clash",SWSH,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH2/SWSH2_EN_49.png
408,Inteleon VMax,Water,Stage 1,RR,"RCL, Rebel Clash",SWSH,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH2/SWSH2_EN_50.png
409,Qwilfish,Water,Basic,C,"SSH, Sword & Shield",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH1/SWSH1_EN_51.png
410,Krabby,Water,Basic,C,"SSH, Sword & Shield",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH1/SWSH1_EN_42.png
411,Drednaw,Water,Stage 1,R,"SSH, Sword & Shield",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH1/SWSH1_EN_61.png
412,Goldeen,Water,Basic,C,"SSH, Sword & Shield",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH1/SWSH1_EN_46.png
413,Spheal,Water,Basic,C,"CRE, Chilling Reign",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH6/SWSH6_EN_37.png
414,Sealeo,Water,Stage 1,U,"CRE, Chilling Reign",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH6/SWSH6_EN_38.png
415,Dewott,Water,Stage 1,U,"VIV, Vivid Voltage",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH4/SWSH4_EN_34.png
416,Veluza,Water,Basic,U,"PAR, Paradox Rift",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_54.png
417,Clawitzer,Water,Stage 1,C,"SVI, Scarlet & Violet",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV01/SV01_EN_50.png
418,Slowbro,Water,Stage 1,R,"SVI, Scarlet & Violet",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV01/SV01_EN_43.png
419,Floatzel,Water,Stage 1,U,"SVI, Scarlet & Violet",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV01/SV01_EN_47.png
420,Bruxish,Water,Basic,C,"SVI, Scarlet & Violet",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV01/SV01_EN_51.png
421,Tatsugiri,Water,Basic,U,"SVI, Scarlet & Violet",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV01/SV01_EN_62.png
422,Quaxly,Water,Basic,C,"SVI, Scarlet & Violet",SV,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV01/SV01_EN_52.png
423,Quaxwell,Water,Stage 1,U,"SVI, Scarlet & Violet",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV01/SV01_EN_53.png
424,Quaquaval,Water,Stage 2,R,"SVI, Scarlet & Violet",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV01/SV01_EN_54.png
425,Remoraid,Water,Basic,C,"BST, Battle Styles",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH5/SWSH5_EN_36.png
426,Barraskewda,Water,Stage 1,R,"VIV, Vivid Voltage",SWSH,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH4/SWSH4_EN_42.png
427,Milotic,Water,Stage 1,R,"EVS, Evolving Skies",SWSH,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH7/SWSH7_EN_38.png
428,Snom,Water,Basic,C,"SSH, Sword & Shield",SWSH,5,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH1/SWSH1_EN_63.png
429,Frosmoth,Water,Stage 1,R,"SSH, Sword & Shield",SWSH,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH1/SWSH1_EN_64.png
430,Iron Bundle,Water,Basic,U,"PAR, Paradox Rift",SV,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_56.png
431,Frigibax,Water,Basic,C,"PAL, Paldea Evolved",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV02/SV02_EN_58.png
432,Baxcalibur,Water,Stage 2,R,"PAL, Paldea Evolved",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV02/SV02_EN_60.png
433,Totodile,Water,Basic,C,"TEF, Temporal Forces",SV,5,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_39.png
434,Croconaw,Water,Stage 1,U,"TEF, Temporal Forces",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_40.png
435,Feraligatr,Water,Stage 2,R,"TEF, Temporal Forces",SV,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_41.png
436,Keldeo,Water,Basic,U,"TEF, Temporal Forces",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_44.png
437,Carvanha,Water,Basic,C,"TEF, Temporal Forces",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_42.png
438,Sharpedo,Water,Basic,U,"TEF, Temporal Forces",SV,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_43.png
439,Wiglett,Water,Basic,C,"TEF, Temporal Forces",SV,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_47.png
440,Wiglett,Water,Basic,C,"SVI, Scarlet & Violet",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV01/SV01_EN_56.png
441,Finizen,Water,Basic,C,"TEF, Temporal Forces",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_48.png
442,Palafin,Water,Stage 1,U,"TEF, Temporal Forces",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_49.png
443,Lombre,Water,Stage 1,U,"EVS, Evolving Skies",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH7/SWSH7_EN_33.png
444,Wishiwashi,Water,Basic,R,"EVS, Evolving Skies",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH7/SWSH7_EN_46.png
445,Tympole,Water,Basic,C,"EVS, Evolving Skies",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH7/SWSH7_EN_42.png
446,Galarian Darmanitan,Water,Stage 1,U,"FST, Fusion Strike",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH8/SWSH8_EN_72.png
447,Basculin,Water,Basic,C,"FST, Fusion Strike",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH8/SWSH8_EN_70.png
448,Galarian Mr. Rime,Water,Stage 1,R,"DAA, Darkness Ablaze",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH3/SWSH3_EN_36.png
449,Quagsire,Water,Stage 1,U,"DRM, Dragon Majesty",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM75/SM75_EN_26.png
450,Articuno,Water,Basic,R,"TEU, Team Up",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM9/SM9_EN_32.png
451,Chien-Pao,Water,Basic,R,"SSP, Surging Sparks",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV08/SV08_EN_56.png
452,Iron Bundle,Water,Basic,U,"SSP, Surging Sparks",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV08/SV08_EN_55.png
453,Cetoddle,Water,Basic,C,"SSP, Surging Sparks",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV08/SV08_EN_56.png
454,Cetitan,Water,Stage 1,C,"SSP, Surging Sparks",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV08/SV08_EN_53.png
455,Sneasel,Water,Basic,C,"SFA, Shrouded Fable",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV6PT5/SV6PT5_EN_13.png
456,Seaking,Water,Basic,C,"TWM, Twilight Masquerade",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_45.png
457,Floatzel,Water,Stage 1,U,"OBF, Obsidian Flames",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV03/SV03_EN_49.png
458,Spheal,Water,Basic,C,"SSP, Surging Sparks",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV08/SV08_EN_43.png
459,Sealeo,Water,Stage 1,C,"SSP, Surging Sparks",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV08/SV08_EN_44.png
460,Quaxly,Water,Basic,C,"SSP, Surging Sparks",SV,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV08/SV08_EN_50.png
461,Quaxwell,Water,Stage 1,C,"SSP, Surging Sparks",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV08/SV08_EN_51.png
462,Quaquaval,Water,Stage 2,U,"SSP, Surging Sparks",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV08/SV08_EN_52.png
463,Poliwag,Water,Basic,C,"TWM, Twilight Masquerade",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_41.png
464,Poliwhirl,Water,Stage 1,C,"TWM, Twilight Masquerade",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_42.png
465,Poliwrath,Water,Stage 2,U,"TWM, Twilight Masquerade",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_43.png
466,Walking Wake,Water,Basic,R,"TWM, Twilight Masquerade",SV,5,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_63.png
467,Phione,Water,Basic,C,"TWM, Twilight Masquerade",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_55.png
468,Iron Bundle,Water,Basic,U,"TWM, Twilight Masquerade",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_62.png
469,Palafin,Water,Stage 1,U,"TWM, Twilight Masquerade",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_60.png
470,Cryogonal,Water,Basic,C,"SSP, Surging Sparks",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV08/SV08_EN_47.png
471,Goldeen,Water,Basic,C,"TWM, Twilight Masquerade",SV,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_44.png
472,Cramorant,Water,Basic,U,"TWM, Twilight Masquerade",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_58.png
473,Froakie,Water,Basic,C,"TWM, Twilight Masquerade",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_56.png
474,Corphish,Water,Basic,C,"TWM, Twilight Masquerade",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_47.png
475,Crawdaunt,Water,Stage 1,C,"TWM, Twilight Masquerade",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_48.png
476,Glaceon,Water,Stage 1,U,"TWM, Twilight Masquerade",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_54.png
477,Feebas,Water,Basic,C,"TWM, Twilight Masquerade",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_49.png
478,Diglett,Fighting,Basic,C,"UNB, Unbroken Bonds",SM,9,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_85.png
479,Dugtrio,Fighting,Stage 1,R,"UNB, Unbroken Bonds",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_86.png
480,Geodude,Fighting,Basic,C,"UNB, Unbroken Bonds",SM,6,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_87.png
481,Graveler,Fighting,Stage 1,U,"UNB, Unbroken Bonds",SM,6,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_88.png
482,Golem,Fighting,Stage 2,R,"UNB, Unbroken Bonds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_89.png
483,Larvitar,Fighting,Basic,C,"LOT, Lost Thunder",SM,9,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_115.png
484,Larvitar,Fighting,Basic,C,"CES, Celestial Storm",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_74.png
485,Pupitar,Fighting,Stage 1,U,"LOT, Lost Thunder",SM,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_116.png
486,Pupitar,Fighting,Stage 1,U,"CES, Celestial Storm",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_75.png
487,Tyrogue,Fighting,Basic,U,"UNB, Unbroken Bonds",SM,5,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_100.png
488,Hitmontop,Fighting,Basic,U,"UNB, Unbroken Bonds",SM,9,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_101.png
489,Hitmonlee,Fighting,Basic,U,"TEU, Team Up",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM9/SM9_EN_73.png
490,Hitmonchan,Fighting,Basic,U,"TEU, Team Up",SM,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM9/SM9_EN_74.png
491,Phanpy,Fighting,Basic,C,"CES, Celestial Storm",SM,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_72.png
492,Phanpy,Fighting,Basic,C,"LOT, Lost Thunder",SM,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_111.png
493,Donphan,Fighting,Stage 1,U,"CES, Celestial Storm",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_73.png
494,Palossand,Fighting,Stage 1,R,"SUM, Sun & Moon",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM1/SM1_EN_75.png
